,FR_LH_Maha,FR_RH_Maha,RR_LH_Maha,RR_RH_Maha,Cabin_Maha
1999,3.03510572833198,5.500883432594481,12.56416845928313,30.51172682442119,2.680369315844375
2249,3.0202967488649626,4.444809025487367,18.707857699632896,43.708947919643755,2.882783219946313
2499,3.97194556398035,1.6863273558813676,42.948362653364796,10.316348593828327,3.73136765106482
2749,5.182290771364617,2.985793118089469,7.341218645337793,9.088956087624531,4.20212526653636
2999,6.648705366746013,3.4488254444346205,7.530640746146232,8.594516531861993,3.7899464406773244
3249,7.2987866927847636,4.144554515954819,6.8577054051801145,8.00853807083209,3.9540239688867396
3499,8.282704629843089,3.703433471389136,6.40160005720544,7.530964329115415,3.0329701682174104
3749,8.104664180227365,4.143165755331926,6.187480112598209,7.864070575892787,3.5327458863599714
3999,7.881325126386991,4.465893265673378,7.546057949591964,9.225944154153977,3.54537024578509
4249,7.7972841746701675,4.441055250691923,5.430037079148704,7.640517338054976,3.0395973506831493
4499,8.146528933583717,4.193635959737673,5.223340553362969,11.95150876110679,2.8159871772258196
4749,8.202832783434342,4.212752881960145,5.352043625780221,10.973299250703171,2.526910265297527
4999,8.568623709721416,3.4728002612951845,5.715612080254491,9.853243131443069,2.1995663609898988
5249,8.883685306578274,2.938532242812687,5.447712232265125,9.072820609315634,2.324402143292492
5499,9.293698980633263,2.6061998272091915,5.32847231374205,9.432380914565716,2.2938478825128557
5749,9.677516655463243,2.5034964556800094,5.524860169930582,9.883147876535626,2.112118500533849
5999,11.500116254177668,1.0699735374493435,4.5037090438627265,9.181733905776811,14.145558603486112
6249,10.955221959329393,1.4631712368201621,4.614102834531823,13.700223388154624,14.296917161188839
6499,9.904397721520517,1.0884052961922914,4.700834035276191,8.846983297545265,13.574050204923056
6749,7.998300186259943,5.284452905771448,4.362526312472466,8.889581247347865,9.477504793374974
6999,7.385348697195199,4.154467108913459,7.625341334846134,25.79236320653543,9.42492762518774
7249,6.430612367287801,4.242985730419079,5.546690874811822,20.358586104862667,8.92422580377127
7499,5.799085638579186,3.6808832570067413,7.010884701199165,22.815552970599068,6.333195321439188
7749,5.304115328345013,4.488400234979745,4.096937466391959,15.09845475945471,6.178826079969126
7999,1.3892540276244736,3.379220832086719,4.103059512395487,9.154742010997248,3.9624501020064837
